artist,URL Artsy,URL Wiki,Nationality,Genre,Art Movement,Momentum Score,Trends 2017,Trends 2018,Trends 2019,Trends 2020,Trends 2021,Trends 2022,Articles,Followers,Yearly Lots Sold,birth_year,death_year,sell_through_rate
charles-harold-davis,https://www.artsy.net/artist/charles-harold-davis/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/charles-harold-davis,Other,battle painting,Surrealism,,14.21052632,7.25,6.865384615,6.615384615,4.903846154,0,34,7920.284153,7.650793651,Other,Other,80.46031746
willem-de-kooning,https://www.artsy.net/artist/willem-de-kooning/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/willem-de-kooning,American,portrait,"Abstract Expressionism, Abstract Art",,22.97368421,21.01923077,18.65384615,16.84615385,14,13.33333333,95,16000,14,1900s,1900s,86
richard-diebenkorn,https://www.artsy.net/artist/richard-diebenkorn/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/richard-diebenkorn,American,cityscape,Abstract Expressionism,,37.31578947,36.32692308,31.36538462,30.48076923,26.82692308,26.86666667,98,5900,6,1900s,1900s,78.2
jim-dine,https://www.artsy.net/artist/jim-dine/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/jim-dine,American,genre painting,"Neo-Dada, Pop Art",,25.52631579,29.13461538,25.01923077,23.57692308,14.80769231,17.73333333,92,7920.284153,7,1900s,Other,77.7
lyonel-feininger,https://www.artsy.net/artist/lyonel-feininger/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/lyonel-feininger,American,landscape,Expressionism,,38.13157895,42.78846154,47.25,39.55769231,38.34615385,25.13333333,53,1800,5,1800s,1900s,83.3
eric-fischl,https://www.artsy.net/artist/eric-fischl/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/eric-fischl,American,portrait,"Neo-Expressionism, Contemporary Realism",,42.71052632,34.90384615,30.67307692,24.98076923,20.65384615,20.13333333,96,4800,6,1900s,Other,95.2
helen-frankenthaler,https://www.artsy.net/artist/helen-frankenthaler/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/helen-frankenthaler,American,abstract,"Abstract Expressionism, Post-Painterly Abstraction",,28.02631579,36.71153846,35.26923077,28.28846154,34.03846154,32.93333333,95,29000,19,1900s,2000s,90.6
william-gropper,https://www.artsy.net/artist/william-gropper/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/william-gropper,Other,portrait,Rococo,,16.60526316,16.78846154,17.05769231,9.903846154,12.09615385,12.2,13,7920.284153,1,Other,Other,100
george-grosz,https://www.artsy.net/artist/george-grosz/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/george-grosz,German,landscape,"Dada, New Objectivity (Neue Sachlichkeit)",,52.55263158,52.07692308,46.15384615,39.23076923,33.11538462,36.53333333,90,1900,4,1800s,1900s,93.3
philip-guston,https://www.artsy.net/artist/philip-guston/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/philip-guston,American,figurative,"Abstract Expressionism, Neo-Expressionism",,14.23684211,11.96153846,10.28846154,15.57692308,10.65384615,8.6,95,5000,9,1900s,1900s,87.5
keith-haring,https://www.artsy.net/artist/keith-haring/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/keith-haring,American,marina,"Pop Art, Street art",,47.81578947,51,58.44230769,62,60.82692308,65.33333333,97,123000,19,1900s,1900s,76
marsden-hartley,https://www.artsy.net/artist/marsden-hartley/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/marsden-hartley,American,landscape,"Abstract Art, Regionalism",,33.44736842,26.96153846,31.92307692,25.05769231,18.19230769,24.2,95,1100,3,1800s,1900s,64.2
childe-hassam,https://www.artsy.net/artist/childe-hassam/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/childe-hassam,American,genre painting,Impressionism,,50.23684211,50.01923077,42.88461538,42.98076923,34.25,32.33333333,97,7920.284153,4,1800s,1900s,72.2
robert-henri,https://www.artsy.net/artist/robert-henri/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/robert-henri,American,portrait,New Realism (American Realism),,58.81578947,54.76923077,53.53846154,49.11538462,45.38461538,45.06666667,83,693,3,1800s,1900s,81.8
clementine-hunter,https://www.artsy.net/artist/clementine-hunter/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/clementine-hunter,American,landscape,"Outsider art (Art brut), Folk art",,33.13157895,26.80769231,22.61538462,21.03846154,24.76923077,28.8,93,7920.284153,7,1800s,1900s,100
robert-indiana,https://www.artsy.net/artist/robert-indiana/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/robert-indiana,American,genre painting,Pop Art,,16.34210526,18.48076923,15.13461538,14.09615385,12.73076923,12.93333333,98,28000,12,1900s,Other,77.5
george-inness,https://www.artsy.net/artist/george-inness/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/george-inness,American,landscape,Tonalism,,13.02631579,13.42307692,13.46153846,10.5,15.57692308,10.46666667,81,7920.284153,3,Other,Other,90.9
alex-katz,https://www.artsy.net/artist/alex-katz/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/alex-katz,American,landscape,Pop Art,,19.39473684,22.53846154,23.01923077,16.07692308,13.46153846,12,97,31000,33,1900s,Other,82.1
william-keith,https://www.artsy.net/artist/william-keith/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/william-keith,Other,battle painting,"Contemporary, Neo-Expressionism, New European Painting",,58.76315789,53.88461538,52,45.51923077,43.30769231,37.66666667,92,59,5,Other,Other,72.7
john-frederick-kensett,https://www.artsy.net/artist/john-frederick-kensett/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/john-frederick-kensett,American,landscape,Realism,,9.657894737,14.63461538,7.980769231,9.596153846,19.15384615,40.13333333,35,7920.284153,3,1800s,1800s,50
franz-kline,https://www.artsy.net/artist/franz-kline/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/franz-kline,American,abstract,"Abstract Expressionism, Abstract Art",,24.42105263,25.15384615,24.23076923,22.94230769,15.84615385,17,95,8900,5,1900s,1900s,85
walt-kuhn,https://www.artsy.net/artist/walt-kuhn/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/walt-kuhn,Other,cityscape,Cubism,,26.05263158,28.69230769,20.32692308,15,16.21153846,14.26666667,21,135,7.650793651,Other,Other,80.46031746
roy-lichtenstein,https://www.artsy.net/artist/roy-lichtenstein/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/roy-lichtenstein,American,still life,Pop Art,,64.63157895,69.48076923,63.5,53.51923077,46.11538462,40.86666667,97,135000,16,Other,Other,89.2
morris-louis,https://www.artsy.net/artist/morris-louis/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/morris-louis,American,abstract,"Abstract Expressionism, Post-Painterly Abstraction",,47.97368421,45.36538462,40.73076923,36.30769231,32.59615385,31.2,90,1900,5,1900s,1900s,84.2
george-luks,https://www.artsy.net/artist/george-luks/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/george-luks,American,figurative,New Realism (American Realism),,19.94736842,22.07692308,13.21153846,14.38461538,12.38461538,14.13333333,13,7920.284153,7.650793651,1800s,1900s,80.46031746
reginald-marsh,https://www.artsy.net/artist/reginald-marsh/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/reginald-marsh,Other,abstract,Symbolism,,19.86842105,25.11538462,20.07692308,19.21153846,13.34615385,12.66666667,43,370,3,Other,Other,75
agnes-martin,https://www.artsy.net/artist/agnes-martin/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/agnes-martin,Canadian,abstract,Minimalism,,42.23684211,39.78846154,39.78846154,41.61538462,35.67307692,31.2,99,33000,4,1900s,2000s,80
joan-mitchell,https://www.artsy.net/artist/joan-mitchell/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/joan-mitchell,French,abstract,"Abstract Expressionism, Abstract Art",,38.52631579,46.28846154,46.94230769,40.71153846,41.42307692,48.66666667,96,8800,19,1900s,1900s,88
robert-motherwell,https://www.artsy.net/artist/robert-motherwell/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/robert-motherwell,American,abstract,Abstract Expressionism,,44.13157895,45.92307692,48.90384615,43.13461538,41.28846154,33,96,7920.284153,13,1900s,1900s,58.8
kenneth-noland,https://www.artsy.net/artist/kenneth-noland/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/kenneth-noland,American,abstract,Post-Painterly Abstraction,,36.60526316,36.88461538,35.86538462,28.25,23.76923077,17.53333333,96,5200,21,1900s,2000s,84.4
ed-paschke,https://www.artsy.net/artist/ed-paschke/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/ed-paschke,Other,animal painting,Impressionism,,34.89473684,34.80769231,32.55769231,21.88461538,14.59615385,12.8,70,7920.284153,7,Other,Other,95.6
jules-pascin,https://www.artsy.net/artist/jules-pascin/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/jules-pascin,French,landscape,Expressionism,,21.60526316,29.55769231,26,29.32692308,21.57692308,28.46666667,15,7920.284153,5,1800s,1900s,59.2
robert-rauschenberg,https://www.artsy.net/artist/robert-rauschenberg/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/robert-rauschenberg,American,landscape,Neo-Dada,,52.78947368,44.40384615,37.44230769,34.21153846,27.75,25.73333333,99,16000,9,1900s,2000s,87.8
larry-rivers,https://www.artsy.net/artist/larry-rivers/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/larry-rivers,American,still life,"Abstract Expressionism, Pop Art",,38.76315789,35.51923077,34.03846154,35.96153846,29.5,27.93333333,95,1600,7,1900s,2000s,88
james-rosenquist,https://www.artsy.net/artist/james-rosenquist/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/james-rosenquist,American,portrait,Pop Art,,37.73684211,28.30769231,22.07692308,16.82692308,14.19230769,11.06666667,93,7920.284153,8,1900s,2000s,75
mark-rothko,https://www.artsy.net/artist/mark-rothko/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/mark-rothko,American,abstract,"Abstract Expressionism, Abstract Art",,54.68421053,54.75,58.65384615,48.46153846,45.51923077,43.4,98,7920.284153,5,1900s,1900s,89.4
ed-ruscha,https://www.artsy.net/artist/ed-ruscha/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/ed-ruscha,American,landscape,Pop Art,,49.55263158,54.53846154,42.84615385,40.65384615,26.94230769,32.2,98,22000,20,1900s,Other,83.3
robert-ryman,https://www.artsy.net/artist/robert-ryman/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/robert-ryman,American,abstract,Minimalism,,4.263157895,4.173076923,6.173076923,3.5,2.692307692,3.066666667,100,3300,8,1900s,Other,96.1
david-salle,https://www.artsy.net/artist/david-salle/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/david-salle,American,landscape,Neo-Expressionism,,59.73684211,58.88461538,53.07692308,44.09615385,42.86538462,44,97,5300,15,Other,Other,86.7
john-singer-sargent,https://www.artsy.net/artist/john-singer-sargent/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/john-singer-sargent,American,portrait,"Realism, Impressionism",,63.76315789,71.25,61.13461538,60.13461538,47.32692308,44.13333333,94,7500,2,1800s,1900s,54.5
julian-schnabel,https://www.artsy.net/artist/julian-schnabel/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/julian-schnabel,American,still life,Neo-Expressionism,,35.05263158,43.26923077,39.90384615,30.57692308,23.86538462,21.6,98,8300,21,1900s,Other,71.1
frank-stella,https://www.artsy.net/artist/frank-stella/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/frank-stella,American,abstract,"Post-Painterly Abstraction, Minimalism",,21.81578947,21.09615385,19.42307692,16.96153846,15.13461538,14.13333333,97,7920.284153,17,1900s,Other,92.9
gilbert-stuart,https://www.artsy.net/artist/gilbert-stuart/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/gilbert-stuart,American,portrait,"Rococo, Romanticism",,26.65789474,24.01923077,22.94230769,18.78846154,15.94230769,19.53333333,94,150,1,1700s,1800s,100
thomas-sully,https://www.artsy.net/artist/thomas-sully/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/thomas-sully,British,portrait,Romanticism,,33.39473684,32.73076923,32.07692308,26,22.98076923,27,78,40,7.650793651,1700s,1800s,80.46031746
wayne-thiebaud,https://www.artsy.net/artist/wayne-thiebaud/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/wayne-thiebaud,American,figurative,Pop Art,,6.052631579,7.346153846,6.692307692,6.269230769,6.25,6.2,98,9400,14,1900s,Other,83
mark-tobey,https://www.artsy.net/artist/mark-tobey/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/mark-tobey,American,abstract,Abstract Expressionism,,29.47368421,22.55769231,18.42307692,20.05769231,25.84615385,32.6,94,1600,9,1800s,1900s,60.8
cy-twombly,https://www.artsy.net/artist/cy-twombly/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/cy-twombly,American,abstract,Abstract Expressionism,,49.47368421,46.32692308,38.5,33.67307692,30.09615385,31.8,95,16000,7,1900s,2000s,95.4
worthington-whittredge,https://www.artsy.net/artist/worthington-whittredge/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/worthington-whittredge,Other,portrait,"Baroque, Dutch Golden Age",,9.263157895,8.346153846,3.692307692,3.538461538,3.615384615,2.266666667,10,139,7.650793651,Other,Other,80.46031746
antonio-berni,https://www.artsy.net/artist/antonio-berni/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/antonio-berni,Argentinean,cloudscape,"Muralism, Social Realism, Junk Art",,29.36842105,28.69230769,26.19230769,28.84615385,23.98076923,14.93333333,21,7920.284153,7.650793651,1900s,1900s,80.46031746
james-ensor,https://www.artsy.net/artist/james-ensor/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/james-ensor,Belgian,genre painting,"Symbolism, Expressionism",,42.21052632,47.76923077,38.01923077,45.67307692,41.30769231,36.86666667,84,1400,3,1800s,1900s,76.9
rene-magritte,https://www.artsy.net/artist/rene-magritte/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/rene-magritte,Belgian,portrait,Surrealism,,47.94736842,49.26923077,47.32692308,54.30769231,48.07692308,43.4,92,15000,16,1800s,1900s,92.4
constantin-meunier,https://www.artsy.net/artist/constantin-meunier/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/constantin-meunier,Other,flower painting,Tonalism,,42.02631579,39.92307692,36.73076923,33.28846154,33.44230769,45.73333333,4,7920.284153,7.650793651,Other,Other,80.46031746
theo-van-rysselberghe,https://www.artsy.net/artist/theo-van-rysselberghe/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/theo-van-rysselberghe,Belgian,landscape,Neo-Impressionism,,17.57894737,20.13461538,8.75,16,11.73076923,19.66666667,17,271,7,1800s,1900s,80.7
lawrence-alma-tadema,https://www.artsy.net/artist/lawrence-alma-tadema/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/lawrence-alma-tadema,Dutch,landscape,"Romanticism, Neoclassicism",,38.39473684,36.65384615,42.94230769,38.80769231,28.17307692,28.93333333,57,7920.284153,7.650793651,1800s,1900s,80.46031746
francis-bacon,https://www.artsy.net/artist/francis-bacon/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/francis-bacon,British,portrait,Expressionism,,60.42105263,58.5,57.96153846,50.40384615,45.26923077,49.6,99,116000,5,1900s,1900s,94.4
richard-parkes-bonington,https://www.artsy.net/artist/richard-parkes-bonington/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/richard-parkes-bonington,British,landscape,Romanticism,,2.684210526,4.711538462,3.711538462,6.326923077,2.211538462,1.666666667,12,51,2,1800s,1800s,77.7
john-constable,https://www.artsy.net/artist/john-constable/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/john-constable,British,landscape,Romanticism,,42.94736842,38.73076923,36.11538462,37.96153846,36.36538462,35.46666667,94,1300,2,1700s,1800s,63.6
william-etty,https://www.artsy.net/artist/william-etty/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/william-etty,Other,abstract,Expressionism,,17.68421053,20,22.05769231,24.71153846,23.01923077,21.6,9,40,4,Other,Other,76.4
william-powell-frith,https://www.artsy.net/artist/william-powell-frith/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/william-powell-frith,Other,genre painting,Mannerism (Late Renaissance),,22.07894737,18.73076923,24.30769231,22.82692308,17.84615385,10.6,23,7920.284153,4,Other,Other,81.2
thomas-gainsborough,https://www.artsy.net/artist/thomas-gainsborough/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/thomas-gainsborough,British,landscape,Rococo,,52.39473684,49.80769231,46.67307692,42.07692308,33.98076923,39.6,96,649,4,1700s,1700s,93.3
joseph-highmore,https://www.artsy.net/artist/joseph-highmore/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/joseph-highmore,Other,still life,Rococo,,16.86842105,9.769230769,7.288461538,7.307692308,5.365384615,6.866666667,9,4,7.650793651,Other,Other,80.46031746
david-hockney,https://www.artsy.net/artist/david-hockney/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/david-hockney,British,abstract,Pop Art,,17.65789474,14.55769231,12.15384615,13.30769231,12.44230769,10.73333333,98,35000,16,1900s,Other,84.7
john-hoppner,https://www.artsy.net/artist/john-hoppner/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/john-hoppner,British,portrait,Romanticism,,24.36842105,24.23076923,17.67307692,12.96153846,13.80769231,13.93333333,4,7920.284153,7.650793651,1700s,1800s,80.46031746
edwin-landseer,https://www.artsy.net/artist/edwin-landseer/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/edwin-landseer,British,animal painting,Romanticism,,16.63157895,16.94230769,16.03846154,12.25,13.11538462,13.06666667,46,50,2,1800s,1800s,85.7
thomas-lawrence,https://www.artsy.net/artist/thomas-lawrence/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/thomas-lawrence,British,portrait,"Rococo, Romanticism",,60.52631579,59.07692308,52.40384615,52.11538462,45.90384615,43.46666667,91,7920.284153,3,1700s,1800s,78.5
frederic-leighton,https://www.artsy.net/artist/frederic-leighton/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/frederic-leighton,British,portrait,Academic Art,,34.73684211,35.28846154,31.23076923,38.17307692,31.73076923,28,45,183,3,1800s,1800s,58.8
peter-lely,https://www.artsy.net/artist/peter-lely/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/peter-lely,Other,abstract,Romanticism,,14.21052632,18.65384615,26.19230769,23.46153846,14.53846154,10.26666667,24,42,2,Other,Other,87.5
george-morland,https://www.artsy.net/artist/george-morland/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/george-morland,British,animal painting,Rococo,,27.55263158,31.05769231,29.69230769,27.59615385,16.94230769,15.73333333,14,7920.284153,7.650793651,1700s,1800s,80.46031746
ben-nicholson,https://www.artsy.net/artist/ben-nicholson/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/ben-nicholson,British,still life,"Cubism, Abstract Art",,5.184210526,5.307692308,7.115384615,4.692307692,4.5,5.066666667,76,1200,13,1800s,1900s,79.5
john-opie,https://www.artsy.net/artist/john-opie/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/john-opie,Other,portrait,Minimalism,,44.10526316,38.34615385,30.05769231,31.59615385,25.65384615,20.46666667,28,7,7.650793651,Other,Other,80.46031746
george-romney,https://www.artsy.net/artist/george-romney/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/george-romney,British,portrait,Rococo,,8.973684211,9.25,8.75,17.5,7.942307692,6.4,91,7920.284153,4,1700s,1800s,82.3
walter-sickert,https://www.artsy.net/artist/walter-sickert/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/walter-sickert,British,pastorale,"Impressionism, Post-Impressionism",,36.10526316,41.40384615,34.96153846,30.55769231,27.67307692,35.33333333,90,200,6,1800s,1900s,50
stanley-spencer,https://www.artsy.net/artist/stanley-spencer/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/stanley-spencer,British,abstract,Neo-Romanticism,,11.36842105,14.94230769,10.94230769,9.730769231,8.5,8.4,89,220,1,1800s,1900s,41.6
george-stubbs,https://www.artsy.net/artist/george-stubbs/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/george-stubbs,British,animal painting,Romanticism,,13.13157895,15.48076923,13.05769231,13.80769231,8.192307692,9.066666667,93,243,7.650793651,1700s,1800s,80.46031746
graham-sutherland,https://www.artsy.net/artist/graham-sutherland/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/graham-sutherland,British,animal painting,"Surrealism, Neo-Romanticism",,25.73684211,24.65384615,17.34615385,23.61538462,15.07692308,9.733333333,86,376,24,1900s,1900s,83.1
julian-trevelyan,https://www.artsy.net/artist/julian-trevelyan/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/julian-trevelyan,Other,abstract,Baroque,,19.78947368,28.40384615,20.96153846,16.42307692,10.48076923,10.46666667,16,164,3,Other,Other,62.5
jean-paul-riopelle,https://www.artsy.net/artist/jean-paul-riopelle/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/jean-paul-riopelle,Canadian,abstract,"Abstract Expressionism, Art Informel, Tachisme, Abstract Art",,22.73684211,21.17307692,19.48076923,19.86538462,28.26923077,19.26666667,84,1600,21,1900s,2000s,79.2
tom-thomson,https://www.artsy.net/artist/tom-thomson/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/tom-thomson,Canadian,landscape,"Post-Impressionism, Art Nouveau",,66.34210526,58.15384615,54.76923077,45.53846154,40.21153846,31.86666667,82,368,7.650793651,1800s,1900s,80.46031746
roberto-matta,https://www.artsy.net/artist/roberto-matta/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/roberto-matta,Chilean,nude painting (nu),Surrealism,,41.89473684,36.98076923,28.61538462,26.32692308,23.40384615,16.26666667,65,7920.284153,24,1900s,2000s,75.2
fernando-botero,https://www.artsy.net/artist/fernando-botero/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/fernando-botero,Colombian,portrait,"Naïve Art (Primitivism), Neo-Figurative Art",,41.60526316,39.82692308,38.55769231,37.30769231,28.84615385,28.6,94,6600,24,1900s,Other,84.8
wifredo-lam,https://www.artsy.net/artist/wifredo-lam/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/wifredo-lam,Cuban,still life,Surrealism,,40.13157895,38.53846154,45.44230769,46.15384615,34.05769231,30.4,80,2300,17,Other,Other,76.4
richard-mortensen,https://www.artsy.net/artist/richard-mortensen/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/richard-mortensen,Other,abstract,Concrete Art (Concretism),,18.07894737,20.61538462,24.98076923,24.75,16.38461538,15.86666667,20,7920.284153,7.650793651,1900s,1900s,80.46031746
pieter-claesz,https://www.artsy.net/artist/pieter-claesz/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/pieter-claesz,Dutch,still life,"Baroque, Dutch Golden Age",,37.81578947,42.96153846,40.26923077,38.28846154,35.86538462,28.53333333,3,155,7.650793651,Other,1600s,80.46031746
kees-van-dongen,https://www.artsy.net/artist/kees-van-dongen/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/kees-van-dongen,French,portrait,"Post-Impressionism, Expressionism",,26.84210526,29.55769231,25.67307692,19.40384615,18.86538462,18.86666667,49,2300,11,1800s,1900s,70.2
gerrit-dou,https://www.artsy.net/artist/gerrit-dou/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/gerrit-dou,Dutch,genre painting,"Baroque, Dutch Golden Age",,41.21052632,30.38461538,38.11538462,30.34615385,26.67307692,31.13333333,23,41,7.650793651,1600s,1600s,80.46031746
jan-van-goyen,https://www.artsy.net/artist/jan-van-goyen/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/jan-van-goyen,Dutch,landscape,"Baroque, Dutch Golden Age",,39.94736842,50.84615385,48.03846154,43.30769231,47.21153846,45.6,29,7920.284153,8,1500s,1600s,77.4
